Year	Sample	Keyword	Score	Sample	Keyword	Score
0.1_percent	2021	covid stimulus	17.782	1_percent	covid positive	1.1828
0.1_percent	2021	moment of silence	17.762	1_percent	tokyo olympics	1.1824
0.1_percent	2021	vaccinated person	17.7457	1_percent	rahul gandhi	1.182
0.1_percent	2021	relief check	17.7227	1_percent	military junta	1.182
0.1_percent	2021	ياريس ارجوك الطلاب بتموت	17.7	1_percent	wuhan institute	1.1819
0.1_percent	2021	new strain	17.686	1_percent	adverse reaction	1.1816
0.1_percent	2021	cdc guideline	17.668	1_percent	viral load	1.1814
0.1_percent	2021	case rate	17.6645	1_percent	covid policy	1.1807
0.1_percent	2021	greg abbott	17.6212	1_percent	southern border	1.1804
0.1_percent	2021	corona patient	17.5435	1_percent	modi government	1.18
0.1_percent	2021	kachin state	17.519	1_percent	covid rate	1.1797
0.1_percent	2021	gain of function research	17.4623	1_percent	state government	1.1793
0.1_percent	2021	corona pandemic	17.4607	1_percent	covid list	1.1793
0.1_percent	2021	internal assessment	17.406	1_percent	booster vaccine	1.1792
0.1_percent	2021	covid ward	17.3738	1_percent	mass vaccination	1.1791
0.1_percent	2021	variant of concern	17.3709	1_percent	happy new year	1.179
0.1_percent	2021	tornado outbreak	17.3045	1_percent	lack of oxygen	1.1787
0.1_percent	2021	republican governor	17.2903	1_percent	other state	1.1786
0.1_percent	2021	wuhan virus	17.2725	1_percent	covid-19 vaccination appointment	1.1782
0.1_percent	2021	case of the omicron variant	17.2695	1_percent	covid spread	1.1777
0.1_percent	2021	school reopen	17.261	1_percent	astrazeneca vaccine	1.1773
0.1_percent	2021	rare blood	17.24	1_percent	monoclonal antibody	1.1771
0.1_percent	2021	monoclonal antibody treatment	17.2374	1_percent	petrol station	1.177
0.1_percent	2021	dera sacha sauda	17.2315	1_percent	health measure	1.1769
0.1_percent	2021	booster vaccine	17.2035	1_percent	clinical trial	1.1768
0.1_percent	2021	previous variant	17.177	1_percent	covid-19 protocol	1.1767
0.1_percent	2021	rapid spread	17.159	1_percent	coronavirus death	1.1762
0.1_percent	2021	covid centre	17.143	1_percent	coronavirus infection	1.1762
