Item	Frequency
diabetes	0.0128
ebola	0.0128
cummings	0.0128
housing	0.0128
aid	0.0128
second wave	0.0127
growth	0.0127
police brutality	0.0127
churches	0.0127
greece	0.0127
dr fauci	0.0126
nation	0.0126
nebraska	0.0126
keir starmer	0.0125
question	0.0125
italian	0.0125
irish	0.0125
empathy	0.0125
conservatives	0.0125
senate republicans	0.0124
rest	0.0124
coronavirus patients	0.0124
heart	0.0123
medical care	0.0122
potus	0.0122
africans	0.0122
vacation	0.0122
return	0.0122
coronavirus vaccine	0.0122
disabilities	0.0122
consequences	0.0122
jesus	0.0122
mild symptoms	0.0121
auckland	0.0121
loeffler	0.0121
health insurance	0.012
challenges	0.012
race	0.012
booster shots	0.0119
chief	0.0119
dan	0.0119
covid test	0.0118
catching covid	0.0118
intensive care	0.0118
another day	0.0118
american lives	0.0118
leicester	0.0118
addition	0.0118
los angeles county	0.0117
health experts	0.0117
lockdown restrictions	0.0117
physicians	0.0117
lebanon	0.0117
orlando	0.0117
stephen miller	0.0117
nazis	0.0117
hicks	0.0117
antifa	0.0116
bullshit	0.0116
peru	0.0116
poland	0.0116
hospital beds	0.0115
pre-existing conditions	0.0115
detroit	0.0115
murder	0.0115
joy	0.0115
new covid cases	0.0114
ugc	0.0114
discrimination	0.0114
first time	0.0113
rahul gandhi	0.0113
orange county	0.0113
redfield	0.0113
colleges	0.0113
employment	0.0113
purpose	0.0113
arms	0.0113
hollywood	0.0113
booster	0.0113
no way	0.0112
human life	0.0112
blue states	0.0112
peter daszak	0.0112
floods	0.0112
jin	0.0112
investigation	0.0112
obesity	0.0112
permission	0.0112
barr	0.0111
sage	0.0111
jacksonville	0.0111
sajid javid	0.011
coronavirus restrictions	0.011
reason	0.011
jimin	0.011
records	0.011
anti	0.011
tamil nadu	0.0109
atlas	0.0109
seoul	0.0109
tyranny	0.0109
kabul	0.0109
severe illness	0.0108
no time	0.0108
abc news	0.0108
new coronavirus cases	0.0108
corona cases	0.0108
brits	0.0108
fuck	0.0108
rights	0.0108
jamaica	0.0108
berlin	0.0108
stores	0.0108
diseases	0.0108
dido harding	0.0107
rise	0.0107
xinjiang	0.0107
connecticut	0.0107
caution	0.0107
rss	0.0107
allah	0.0107
county	0.0107
university	0.0106
united airlines	0.0105
mark meadows	0.0105
healthy people	0.0105
matt gaetz	0.0105
postponement	0.0105
babies	0.0105
social security	0.0105
brazilian	0.0105
tory mps	0.0104
hundreds of millions	0.0104
new yorkers	0.0104
johns hopkins	0.0104
ssc	0.0104
crime	0.0104
riots	0.0104
abuse	0.0104
photos	0.0104
montana	0.0104
birth	0.0104
hindus	0.0104
strength	0.0103
tourism	0.0103
prices	0.0103
alaska	0.0103
denial	0.0103
endsars	0.0103
public health officials	0.0102
covid contracts	0.0102
several months	0.0102
medical supplies	0.0102
trillions	0.0102
aids	0.0102
elaine chao	0.0101
covid hospitalizations	0.0101
good health	0.0101
team	0.0101
argentina	0.0101
breath	0.0101
anti-asian	0.0101
merck	0.0101
covid mandates	0.01
neil ferguson	0.01
kanye west	0.01
daniel andrews	0.01
iceland	0.01
nbc	0.01
variant	0.01
phd	0.01
choice	0.01
heart disease	0.0099
coronavirus vaccines	0.0099
gretchen whitmer	0.0099
alcohol	0.0099
abuja	0.0099
prisons	0.0099
stimulus checks	0.0099
distribution	0.0099
favor	0.0099
mike lee	0.0099
christmas eve	0.0098
clinical trials	0.0098
infectious diseases	0.0098
panic buying	0.0098
working families	0.0098
stanford	0.0098
town	0.0098
bleach	0.0098
gandhi	0.0098
fight	0.0098
goa	0.0098
blm	0.0097
survival	0.0097
signs	0.0097
wealth	0.0097
suffering	0.0097
hillary clinton	0.0097
refugees	0.0097
palliatives	0.0097
recent days	0.0096
public health experts	0.0096
min age limit	0.0096
dose1 capacity	0.0096
dose2 capacity	0.0096
mass testing	0.0096
bernie sanders	0.0096
russians	0.0096
espn	0.0096
kansas	0.0096
efficacy	0.0096
bill barr	0.0096
kellyanne conway	0.0096
emergency use	0.0095
first day	0.0095
democratic	0.0095
smell	0.0095
labour	0.0095
almost a year	0.0095
gauteng	0.0095
how covid	0.0094
steven mnuchin	0.0094
sant shri	0.0094
covid response	0.0094
systemic racism	0.0094
dublin	0.0094
criminals	0.0094
easter	0.0094
gain	0.0094
boris johnsons	0.0093
peter navarro	0.0093
sick leave	0.0093
young adults	0.0093
rebekah jones	0.0093
pres	0.0093
kenyans	0.0093
hubei	0.0093
vaccine hesitancy	0.0092
west virginia	0.0092
over a year	0.0092
vegas	0.0092
trump administration	0.0092
goodbye	0.0092
vermont	0.0092
regeneron	0.0092
coronavirus testing	0.0092
serious illness	0.0091
no plan	0.0091
china virus	0.0091
chris wallace	0.0091
gdp	0.0091
force	0.0091
doj	0.0091
approval	0.0091
harvard	0.0091
months ago	0.009
story	0.009
philadelphia	0.009
rapid tests	0.0089
covid times	0.0089
sabah	0.0089
son	0.0089
dad	0.0089
chile	0.0089
holidays	0.0089
mom	0.0089
jabs	0.0089
supply	0.0089
victory	0.0089
chennai	0.0089
buhari	0.0089
public places	0.0088
north america	0.0088
covid treatment	0.0088
illegal immigrants	0.0088
mark zuckerberg	0.0088
sex	0.0088
hospitalisations	0.0088
hotels	0.0088
knowledge	0.0088
pictures	0.0088
context	0.0088
flu season	0.0087
global pandemic	0.0087
hand sanitizer	0.0087
speaker pelosi	0.0087
hannity	0.0087
cars	0.0087
trial	0.0087
bangalore	0.0087
full lockdown	0.0086
donald j. trump	0.0086
vitamin d	0.0086
full approval	0.0086
lucknow	0.0086
fines	0.0086
faith	0.0086
coronavirus relief	0.0086
manhattan	0.0086
ahmedabad	0.0086
first case	0.0085
chris cuomo	0.0085
excess deaths	0.0085
washington state	0.0085
devin nunes	0.0085
american airlines	0.0085
advance	0.0085
bush	0.0085
stocks	0.0085
disaster	0.0085
lessons	0.0085
taste	0.0085
afternoon	0.0085
graham	0.0085
roger stone	0.0085
vaccination status	0.0084
new study	0.0084
online classes	0.0084
noon	0.0084
future	0.0084
mr. president	0.0084
groceries	0.0084
donations	0.0084
brooklyn	0.0084
afghan	0.0084
president donald trump	0.0084
covid vaccinations	0.0083
older people	0.0083
dan patrick	0.0083
tears	0.0083
compliance	0.0083
capitol	0.0083
friend	0.0083
assistance	0.0083
fever	0.0083
public health measures	0.0082
arvind kejriwal	0.0082
account	0.0082
ceo	0.0082
freedoms	0.0082
happiness	0.0082
tweet	0.0082
walmart	0.0082
bapu	0.0082
phoenix	0.0082
travel restrictions	0.0081
health ministry	0.0081
coronavirus infections	0.0081
american history	0.0081
cpac	0.0081
teens	0.0081
neet exams	0.0081
heart attacks	0.008
astrazeneca vaccine	0.008
unity	0.008
debate	0.008
sindh	0.008
wuhan virus	0.008
centre	0.008
wtf	0.008
dr. birx	0.008
melania trump	0.008
actions	0.008
wife	0.008
covishield	0.008
measles	0.008
earlier today	0.0079
cdc director	0.0079
community transmission	0.0079
broward county	0.0079
father	0.0079
counties	0.0079
planes	0.0079
inequality	0.0079
liberals	0.0079
pcr tests	0.0078
british columbia	0.0078
heart inflammation	0.0078
madrid	0.0078
korean	0.0078
kolkata	0.0078
illegals	0.0078
angela merkel	0.0077
corona pandemic	0.0077
madhya pradesh	0.0077
world leaders	0.0077
wearamask	0.0077
schumer	0.0077
plan	0.0077
tampa	0.0077
tanzania	0.0077
new data	0.0076
covid update	0.0076
robert redfield	0.0076
zero covid	0.0076
experience	0.0076
susan collins	0.0076
ben carson	0.0076
level	0.0076
brussels	0.0076
cause	0.0076
protestors	0.0076
bats	0.0076
one-day	0.0076
smallpox	0.0076
joe manchin	0.0075
less than 1%	0.0075
good morning	0.0075
imran khan	0.0075
xi jinping	0.0075
rwanda	0.0075
regulations	0.0075
normalcy	0.0075
coverage	0.0075
distance	0.0075
d.c.	0.0075
art	0.0075
bernie	0.0075
anger	0.0075
ethiopia	0.0075
cvs	0.0075
mcallen	0.0075
xiumin	0.0075
new covid-19 cases	0.0074
capitol hill	0.0074
covid19 cases	0.0074
andrews	0.0074
mco	0.0074
offline exams	0.0073
covid infection	0.0073
deborah birx	0.0073
chinese virus	0.0073
early march	0.0073
tax cuts	0.0073
fema	0.0073
baltimore	0.0073
pakistani	0.0073
soap	0.0073
tom brady	0.0072
severe covid	0.0072
red states	0.0072
harris county	0.0072
insider trading	0.0072
gladys berejiklian	0.0072
communist china	0.0072
american citizens	0.0072
chelsea	0.0072
books	0.0072
child	0.0072
venezuela	0.0072
denver	0.0072
palestine	0.0072
vaxxer	0.0072
covid warriors	0.0071
no lockdown	0.0071
human beings	0.0071
new mexico	0.0071
american families	0.0071
health canada	0.0071
ice	0.0071
impeachment	0.0071
scotus	0.0071
director	0.0071
netflix	0.0071
classrooms	0.0071
iranian	0.0071
start	0.0071
appointments	0.0071
ron	0.0071
whitmer	0.0071
bangkok	0.0071
street	0.0071
eid	0.0071
merry christmas	0.007
candace owens	0.007
social distancing rules	0.007
public safety	0.007
sale	0.007
barcelona	0.007
haryana	0.007
brisbane	0.007
hospitalisation	0.007
bbc news	0.0069
when covid	0.0069
l.a. county	0.0069
dolly parton	0.0069
npr	0.0069
mlb	0.0069
priority	0.0069
