Item	Frequency
start of the pandemic	0.013
hai	0.013
resign	0.013
worldwide	0.013
pre-covid	0.013
warning	0.013
hospitalisation	0.013
alberta	0.013
vaccination rate	0.0129
health crisis	0.0129
alert	0.0129
pushing	0.0129
breakthrough	0.0129
england	0.0129
good morning	0.0128
protocols	0.0128
stopped	0.0128
young people	0.0128
bars	0.0127
saved	0.0127
ridiculous	0.0127
rent	0.0127
liar	0.0127
refusing	0.0127
end	0.0127
n95 mask	0.0126
health minister	0.0126
novel coronavirus	0.0126
etc	0.0126
mayor	0.0126
asap	0.0126
super spreader	0.0125
covid-19 testing	0.0125
third wave	0.0125
funding	0.0125
stay-at-home	0.0125
covid shot	0.0124
bs	0.0124
lockdown rule	0.0123
total case	0.0123
fox news	0.0123
corruption	0.0123
hi	0.0123
proof	0.0123
hong	0.0123
slow	0.0123
hospital bed	0.0122
shocking	0.0122
corrupt	0.0122
fraud	0.0122
matter	0.0122
second dose	0.0121
mutate	0.0121
covid-19 restriction	0.012
influenza	0.012
worry	0.012
official	0.012
covid number	0.0119
locked	0.0119
announces	0.0119
august	0.0119
tough	0.0119
front line	0.0118
poll	0.0118
ignoring	0.0118
count	0.0118
new zealand	0.0118
flights	0.0118
am	0.0118
national lockdown	0.0117
postponed	0.0117
responsible	0.0117
drug	0.0117
blood clot	0.0116
infectious disease	0.0116
case of coronavirus	0.0116
bills	0.0116
confirms	0.0116
active	0.0116
kindly	0.0116
maskless	0.0116
covid lockdown	0.0115
frontline worker	0.0115
nationwide	0.0115
er	0.0115
chinese virus	0.0114
fault	0.0114
warns	0.0114
viruses	0.0114
maga	0.0114
mad	0.0114
russia	0.0114
relief package	0.0114
az	0.0114
treat	0.0114
contact tracing	0.0113
yall	0.0113
myanmar	0.0113
ï ̧	0.0113
speedy recovery	0.0112
blood component	0.0112
tier	0.0112
people die	0.0111
india''s	0.0111
ya	0.0111
rn	0.0111
dealing	0.0111
sars	0.0111
unvaxxed	0.0111
family member	0.0111
south korea	0.0111
next week	0.0111
chief	0.0111
celebrate	0.0111
new study	0.011
recession	0.011
contracted	0.011
accountable	0.011
tweets	0.011
disgrace	0.011
ðÿtm	0.011
gathering	0.011
sydney	0.011
good news	0.011
nhs staff	0.0109
cases today	0.0109
bill gates	0.0109
same people	0.0109
supporters	0.0109
pres	0.0109
reckless	0.0109
newsom	0.0109
closing	0.0109
kong	0.0109
aid	0.0109
covid jab	0.0108
mask wear	0.0108
excess death	0.0108
poverty	0.0108
âtm	0.0108
kills	0.0107
warn	0.0107
scary	0.0107
tho	0.0107
rest	0.0107
number of cases	0.0106
protesting	0.0106
checks	0.0106
coronavirus relief	0.0106
novel	0.0106
conspiracy theorist	0.0105
bbc	0.0105
unprecedented	0.0105
coronavirus crisis	0.0105
fall	0.0105
sadly	0.0105
appointment	0.0105
climate change	0.0105
leave	0.0105
travel ban	0.0104
healthcare system	0.0104
spreads	0.0104
sending	0.0104
ventilation	0.0104
full	0.0104
blaming	0.0103
blm	0.0103
wear mask	0.0102
hcq	0.0102
refuses	0.0102
prayers	0.0102
send	0.0102
protesters	0.0102
effective	0.0102
common sense	0.0101
stimulus check	0.0101
ai	0.0101
spent	0.0101
borders	0.0101
world''s	0.0101
streets	0.0101
nih	0.0101
daily case	0.01
survival rate	0.01
trials	0.01
prison	0.01
federal government	0.01
friday	0.01
health system	0.0099
admitted	0.0099
impacted	0.0099
terrible	0.0099
jail	0.0099
cuz	0.0099
mismanagement	0.0099
hong kong	0.0099
communities	0.0099
love	0.0099
speedy	0.0098
honestly	0.0098
press conference	0.0098
deadly virus	0.0097
new year	0.0097
y''all	0.0097
until	0.0097
pfizer vaccine	0.0096
exactly	0.0096
coronavirus response	0.0096
violence	0.0096
asian	0.0096
food	0.0096
california	0.0096
matt hancock	0.0095
face covering	0.0095
idiots	0.0095
hypocrisy	0.0095
bihar	0.0095
holiday	0.0095
cdc guideline	0.0094
pm modi	0.0094
migrant	0.0094
eat	0.0094
nyt	0.0094
push	0.0094
stand	0.0094
everywhere	0.0094
capitol	0.0094
leak	0.0094
employees	0.0094
coronavirus test	0.0093
number of deaths	0.0093
guidance	0.0093
voter	0.0093
homeless	0.0093
eligible	0.0093
afghanistan	0.0093
wuhan virus	0.0092
democracy	0.0092
tens	0.0092
saving	0.0092
danger	0.0092
preventable	0.0092
quarantined	0.0092
idk	0.0092
diagnosed	0.0092
last year	0.0092
case number	0.0091
lockdown restriction	0.0091
saving life	0.0091
biden''s	0.0091
congratulations	0.0091
billions	0.0091
urgently	0.0091
senator	0.0091
hundred of thousands	0.0091
denier	0.0091
heartbreaking	0.0091
few day	0.0091
calls	0.0091
covid symptom	0.009
ron desantis	0.009
uk government	0.009
stay-at-home order	0.009
virology	0.009
polio	0.009
bengal	0.009
south	0.009
first lockdown	0.0089
coronavirus patient	0.0089
glad	0.0089
mutation	0.0089
tyranny	0.0089
man	0.0089
big pharma	0.0088
corona case	0.0088
antibodies	0.0088
epidemiologist	0.0088
harris	0.0088
pradesh	0.0088
jandj	0.0088
remdesivir	0.0088
dec	0.0088
other people	0.0088
same time	0.0088
