Item	Frequency	Score
chief minister	14	1.095
health measure	14	1.095
loss of life	14	1.095
lockdown easing	14	1.095
first case	14	1.095
new virus	14	1.095
pm @narendramodi	14	1.095
mild symptom	14	1.095
peaceful protestor	14	1.095
personal protective equipment	14	1.095
pandemic rage	14	1.095
covid care	14	1.095
confirmed coronavirus case	14	1.095
health risk	14	1.095
number of coronavirus cases	14	1.095
public space	14	1.095
final year student	14	1.095
midst of a global pandemic	14	1.095
त ्	14	1.095
surge in coronavirus	14	1.095
relief package	14	1.095
disease control	14	1.095
growth rate	14	1.095
lockdown i	14	1.095
namo app	13	1.088
vaccine trial	13	1.088
new world order	13	1.088
cause of death	13	1.088
trump staffer	13	1.088
trump campaign staffer	13	1.088
school meal	13	1.088
gop governor	13	1.088
san antonio	13	1.088
case in a day	13	1.088
confirmed #covid19	13	1.088
middle east	13	1.088
people''s life	13	1.088
memorial day weekend	13	1.088
positive coronavirus	13	1.088
global crisis	13	1.088
congressman sponsor	13	1.088
insurance company	13	1.088
global coronavirus	13	1.088
medical staff	13	1.088
covid positive	13	1.088
inner engineering	13	1.088
infected patient	13	1.088
covid rule	13	1.088
pandemic potential	13	1.088
complete lockdown	13	1.088
easing lockdown	13	1.088
gandhi hospital	13	1.088
top story	13	1.088
full time	13	1.088
other thing	13	1.088
illegal immigration	13	1.088
क ा	13	1.088
new confirmed case	13	1.088
rest of the country	13	1.088
world order	13	1.088
doing nothing	13	1.088
only reason	13	1.088
rath yatra	13	1.088
world''s population	13	1.088
spread of #coronavirus	13	1.088
wuhan flu	13	1.088
survival rate	13	1.088
world war	13	1.088
positive result	13	1.088
few people	13	1.088
local hospital	13	1.088
pvt hospital	13	1.088
face mask in public	13	1.088
north korea	13	1.088
normal life	13	1.088
novak djokovic	13	1.088
public gathering	13	1.088
low risk	13	1.088
vice president	13	1.088
birthday party	13	1.088
death sentence	13	1.088
death cult	13	1.088
jury trial	13	1.088
people go	13	1.088
double lung transplant	13	1.088
orange county	13	1.088
new #coronavirus case	13	1.088
coronavirus stimulus	13	1.088
wave of infections	13	1.088
madhya pradesh	13	1.088
home minister	13	1.088
phone call	13	1.088
mask requirement	13	1.088
nursing home death	13	1.088
public trust	13	1.088
self isolate	13	1.088
dear friend	13	1.088
local lockdown	13	1.088
gop response	13	1.088
black trans woman	13	1.088
natural disaster	12	1.081
daily number	12	1.081
covid-19 transmission	12	1.081
health advice	12	1.081
uk govt	12	1.081
national security	12	1.081
central bank	12	1.081
national crisis	12	1.081
concert crew	12	1.081
scientific evidence	12	1.081
basic human right	12	1.081
college student	12	1.081
financial crisis	12	1.081
bame people	12	1.081
mitch mcconnell	12	1.081
killing thousand	12	1.081
case of the coronavirus	12	1.081
million of dollars	12	1.081
enough people	12	1.081
local official	12	1.081
case growth	12	1.081
covid-19 death toll	12	1.081
financial help	12	1.081
transition period	12	1.081
good day	12	1.081
family detention	12	1.081
safety protocol	12	1.081
interesting article	12	1.081
