Item	Frequency	Score
post-vaccine	6	5.297
long-hauler	6	5.290
szn	6	5.286
comorbiditie	10	5.286
dept	24	5.283
made-in-india	6	5.277
indyref2	6	5.275
âš	6	5.274
fake	151	5.260
hain	9	5.252
mumbai	72	5.245
parliamentarian	21	5.244
yunho	6	5.240
dey	12	5.238
gove	11	5.236
tacha	6	5.223
ardern	9	5.219
jihoon	6	5.215
gathering	142	5.212
grifter	7	5.204
brag	29	5.201
intubate	7	5.200
upend	12	5.199
once-in-a-century	6	5.197
easing	16	5.197
म	7	5.196
mam	11	5.193
isolation	97	5.191
slur	19	5.174
ineptitude	9	5.167
bhai	9	5.164
weaponized	8	5.163
disinfect	16	5.156
gates	56	5.147
jabs	6	5.145
gimme	12	5.139
immunize	11	5.137
unemployed	48	5.136
scare	130	5.135
coz	13	5.134
crore	50	5.127
coloradan	7	5.126
infuriate	18	5.119
alarming	32	5.114
phe	9	5.114
albertans	7	5.113
cawthorn	6	5.112
vaccine-related	6	5.111
govs	6	5.110
floridians	6	5.099
parq	6	5.099
nyc	71	5.099
azithromycin	7	5.097
ass	121	5.090
yt	12	5.086
co-morbiditie	7	5.082
astra	13	5.079
tok	8	5.074
sachin	10	5.071
safe	757	5.067
scapegoat	14	5.060
vulnerable	174	5.053
bailout	28	5.037
public-health	7	5.035
thankful	48	5.034
y6	6	5.034
supremacy	29	5.034
kudos	21	5.022
w	343	5.021
reposting	7	5.018
hate	336	5.004
cancun	13	5.004
brazilian	82	5.003
thank	721	4.998
karima	6	4.992
mva	8	4.987
jen	25	4.983
insane	60	4.982
untested	12	4.979
non-profits	6	4.967
fema	24	4.965
mandalay	10	4.955
yeadon	6	4.949
naira	8	4.945
ว	6	4.945
beto	8	4.940
immigrant	179	4.936
goverment	9	4.932
un-american	9	4.931
exacerbate	38	4.930
defund	9	4.929
ग	6	4.920
impending	32	4.918
arent	14	4.917
tendulkar	8	4.899
dido	8	4.891
eligibility	90	4.886
hoard	21	4.883
childcare	36	4.881
hagler	6	4.873
equitably	9	4.873
shut	219	4.869
literally	191	4.866
bafana	6	4.863
tigray	7	4.860
hypocrite	18	4.859
roadhouse	8	4.845
gofundme	8	4.840
primetime	13	4.840
dumb	62	4.836
unacceptable	48	4.829
deserve	220	4.824
amidst	41	4.823
horrific	33	4.823
bitch	50	4.822
globalist	10	4.812
disproportionate	22	4.809
bungle	9	4.797
viral	71	4.786
vile	23	4.784
zin	7	4.779
racialized	8	4.777
tran	42	4.775
ps5	8	4.775
idiotic	14	4.773
rn	34	4.768
disha	6	4.767
fb	25	4.762
innit	6	4.760
embiid	7	4.759
greed	40	4.757
livestream	10	4.755
marco	40	4.749
commie	9	4.748
constituent	66	4.747
shocking	50	4.742
dystopian	12	4.736
coronavirus-related	6	4.730
प	6	4.723
breaker	35	4.717
filipino	32	4.716
gst	27	4.712
ncr	11	4.711
lula	11	4.710
punjab	34	4.709
lmfao	6	4.708
upsc	8	4.705
unwell	12	4.702
monoclonal	13	4.699
u	304	4.694
pawar	8	4.692
bollocks	6	4.689
morrison	45	4.686
ndtv	7	4.683
tornado	45	4.682
austerity	30	4.682
explainer	7	4.682
tonight	185	4.681
cornyn	7	4.680
immune	128	4.680
denialism	6	4.678
tik	6	4.675
pune	21	4.672
wicker	12	4.667
द	6	4.658
dewine	7	4.651
zero	255	4.649
ni	34	4.648
blm	19	4.647
abhorrent	9	4.631
surging	9	4.630
londoner	12	4.628
overreaction	7	4.625
prioritizing	14	4.619
rand	37	4.617
ofc	8	4.613
midst	70	4.607
کرونا_ابھی_گیا_نہیں	5	4.607
pandemicide	5	4.607
seekersandrefugee	5	4.607
e484k	5	4.607
شفقت_انکل_رحم_کریں	5	4.607
befor4to9year	5	4.607
ladborke	5	4.606
matuschik	5	4.606
r-eff	5	4.606
china-virus	5	4.606
enzc	5	4.605
aðÿ	5	4.605
okorogheye	5	4.604
wishlist	9	4.603
aande	5	4.603
matter-and	5	4.602
स	6	4.601
lien-teh	5	4.600
pro-vaxxer	5	4.600
long-covid	5	4.599
elderly	100	4.598
moh	8	4.594
supercenter	6	4.590
beleivable	5	4.590
onlyfan	5	4.590
perlu	5	4.588
pork-filled	5	4.588
weverse	5	4.584
pharmacy	78	4.583
khamzat	5	4.583
chimaev	5	4.581
mislead	72	4.581
hospital	776	4.579
lmaooo	5	4.578
ฟ	5	4.578
nakasero	5	4.569
shame	118	4.568
gcq	5	4.563
antivaxxer	5	4.561
oï	5	4.558
madness	47	4.558
propaganda	80	4.557
theatrics	7	4.556
bioweapons	5	4.555
shandro	5	4.554
debold	5	4.548
covid-free	5	4.546
ap-norc	5	4.545
birthday	185	4.545
die	1167	4.538
reported	15	4.534
hv	10	4.533
izone	5	4.532
azar	7	4.529
arizonan	6	4.523
chanyeol	5	4.523
nyers	5	4.522
diolch	5	4.518
testing	383	4.513
sars-cov2	5	4.512
xenophobic	9	4.511
via	831	4.505
dehumanize	9	4.504
copr	5	4.495
