Item	Score
tens of thousands	0.1675
anxiety	0.1675
virus cases	0.1675
w/ coronavirus	0.1674
junta terrorists	0.1672
fun	0.1672
indias covid crisis	0.1672
chinese students	0.1671
new delhi	0.167
bogus case	0.1667
real people	0.1666
lithuania	0.1665
slovakia	0.1664
yokohama	0.1663
polio outbreak	0.1662
sure coronavirus	0.1662
covid-19 coronavirus	0.1662
covid19 deaths	0.1661
danger	0.166
covid19 crisis	0.166
plan b	0.1659
maharashtra	0.1658
civil hospital	0.1658
court	0.1656
season	0.1655
singapore	0.1654
previous covid infection	0.1654
public health experts	0.1653
medicare	0.1652
coronavirus china	0.1652
tier	0.1651
covid law	0.165
prior infection	0.1649
animals	0.1649
protocols	0.1648
full covid-19 vaccination	0.1648
hospital admissions	0.1647
relief bill	0.1647
world war ii	0.1645
vaccine inequity	0.1645
location	0.1644
corporate america	0.1644
thailand	0.1643
facilities	0.1643
covid policy	0.1642
mandate	0.1642
cdc data	0.1641
child deaths	0.164
positive covid cases	0.1639
pre-existing conditions	0.1638
emergency	0.1637
chinas wuhan	0.1636
scott morrison	0.1635
mrna vaccine 💉	0.1634
bank details	0.1634
mr. president	0.1633
second jobs	0.1631
flu shot	0.1631
death rate	0.1629
asia	0.1628
funding	0.1628
nicola sturgeon	0.1627
medical staff	0.1627
covid care	0.1627
advice	0.1626
control pandemic	0.1626
capita	0.1625
asian people	0.1625
high levels	0.1624
mitch mcconnell	0.1624
south delhi	0.1624
first month	0.1624
police brutality	0.1622
supplies	0.1621
compartment exam	0.162
walgreens houston	0.1618
gov. andrew cuomo	0.1618
hand	0.1617
happy new year	0.1614
morrison	0.1614
elections	0.1614
drugs	0.1614
service	0.1614
problems	0.1614
school kids	0.1614
new strains	0.1613
medical facilities	0.1612
choice	0.1611
social gatherings	0.1611
covid days	0.1611
coronavirus variant	0.161
infection rates	0.1608
vietnam	0.1608
vaxxer	0.1608
direct payments	0.1608
russian	0.1607
sir	0.1607
az vaccine	0.1607
pride month	0.1606
covid hospitalisations	0.1606
hate crimes	0.1606
rich countries	0.1604
mild cases	0.1604
hotel quarantine	0.1604
coronavirus outbreaks	0.1603
mask requirements	0.1602
first responders	0.1601
voters	0.1601
annual	0.1601
beds	0.1601
west bengal	0.16
sri lanka	0.1599
philippines	0.1599
breast cancer	0.1599
diamond princess	0.1598
coronavirus test	0.1596
freedoms	0.1595
mucormycosis	0.1595
patient	0.159
trump supporters	0.159
bengaluru	0.159
covid warriors	0.1589
state govt	0.1589
updates	0.1588
south carolina	0.1587
desantis	0.1587
treatments	0.1587
adverse reactions	0.1586
covid relief funds	0.1586
estonia	0.1586
covid safety	0.1585
working families	0.1584
test kits	0.1584
delhi ncr	0.1583
healthy children	0.1582
black farmers	0.1582
bbc	0.1581
demand	0.158
health minister	0.1578
awareness	0.1578
walgreen drug store	0.1578
rodgers	0.1578
games	0.1577
online exam	0.1576
booster jabs	0.1575
trump wh	0.1575
protests	0.1571
guidelines	0.1571
brandon	0.1571
vaccine patents	0.157
junta	0.157
heart inflammation	0.1569
complete lockdown	0.1569
plasma donor	0.1569
malaysia	0.1567
hospitalisation	0.1567
capacity	0.1566
boris	0.1565
efforts	0.1565
covid hospital	0.1564
measles	0.1564
crypto game	0.1563
high school	0.1562
chinese nationals	0.1562
bed	0.156
distribution-dss volunteers	0.1557
first cases	0.1557
social care	0.1556
rent	0.1556
saint dr	0.1555
covid19 testing	0.1555
fire	0.1554
suicide	0.1554
australian	0.1554
supply	0.1554
chinas efforts	0.1554
vaccine raw materials	0.1552
otoole	0.1552
jungkook china	0.1552
child abuse	0.1551
real pandemics	0.155
saudi arabia	0.1548
australians	0.1548
european	0.1548
high vaccination rates	0.1547
change	0.1546
function	0.1545
mass testing	0.1544
trace	0.1543
ventilators	0.1543
changes	0.1543
real time	0.1542
booster dose	0.154
illness	0.154
coronavirus season	0.154
profit	0.1539
no social distancing	0.1538
oxygen crisis	0.1538
medical status	0.1538
anti-asian racism	0.1538
wellbeing	0.1537
covid update	0.1536
full approval	0.1536
nagpur	0.1534
about #covid	0.1533
san diego	0.153
rising omicron cases	0.153
hand sanitizer	0.153
campus	0.153
various states	0.153
horse dewormer	0.153
myanmar	0.153
wuhan hospitals	0.1529
covid2019	0.1529
new covid hospitalizations	0.1529
severe cases	0.1528
neet exam	0.1528
xmas day	0.1527
fresh covid cases	0.1527
blue states	0.1526
unvaccinated americans	0.1526
ugc	0.1526
scottish	0.1525
daniel andrews	0.1524
unvaccinated individuals	0.1524
update	0.1524
netherlands	0.1524
covid19 palliatives	0.1524
online exams	0.1523
developing countries	0.1522
indians	0.1522
icu bed	0.1522
world leaders	0.152
first week	0.152
new #covid19 cases	0.1519
joe	0.1519
uts	0.1518
hp inc	0.1516
similar game	0.1516
ron johnson	0.1515
mask guidance	0.1513
muslims	0.1513
great news	0.1512
private schools	0.1512
mail	0.1512
delhi cantt	0.1512
coronavirus rn	0.1512
college students	0.151
prevention	0.151
slovenia	0.1508
endsars	0.1507
french	0.1506
villages	0.1506
s. africa	0.1505
rates	0.1504
child	0.1504
final year	0.1503
natural infection	0.1502
employers	0.1502
d.c.	0.1501
north america	0.15
current vaccines	0.15
online classes	0.1499
close contacts	0.1498
centre	0.1498
infectious diseases	0.1497
food shortages	0.1497
situation	0.1497
south african	0.1496
omicron outbreak	0.1496
new york times	0.1496
sydney	0.1496
second covid wave	0.1495
sajid javid	0.1494
stuff	0.1494
faculty	0.1494
beijing	0.1493
researchers	0.1493
