Item	Frequency
tax cuts	0.0076
chennai	0.0076
pres trump	0.0076
investigation	0.0076
philadelphia	0.0076
neet exams	0.0076
tens of millions	0.0075
dead bodies	0.0075
gloves	0.0075
blood group	0.0075
bullshit	0.0075
denver	0.0075
protestors	0.0075
shanghai	0.0075
severe covid	0.0074
health ministry	0.0074
indoor dining	0.0074
suffering	0.0074
reasons	0.0074
stocks	0.0074
jammu	0.0074
melania trump	0.0074
red states	0.0073
earlier today	0.0073
online classes	0.0073
covid hospitalizations	0.0073
kevin mccarthy	0.0073
dad	0.0073
several months	0.0073
disabilities	0.0073
photos	0.0073
home orders	0.0073
ethiopia	0.0073
monoclonal antibodies	0.0072
new data	0.0072
joel osteen	0.0072
prime minister	0.0072
covid symptoms	0.0072
madhya pradesh	0.0072
months ago	0.0072
neet-jee	0.0072
peru	0.0072
mom	0.0072
president-elect biden	0.0072
rochelle walensky	0.0071
false positives	0.0071
sick days	0.0071
taylor swift	0.0071
stanford	0.0071
diabetes	0.0071
goodbye	0.0071
heart	0.0071
lessons	0.0071
team	0.0071
hubei province	0.0071
freedom day	0.007
covid situation	0.007
imran khan	0.007
trillions	0.007
force	0.007
lucknow	0.007
ben carson	0.007
berlin	0.007
victory	0.007
teens	0.007
anti	0.007
choice	0.007
street	0.007
kolkata	0.007
palestine	0.007
hazard pay	0.0069
ambulance drivers	0.0069
nda	0.0069
russians	0.0069
prisons	0.0069
taste	0.0069
donations	0.0069
diseases	0.0069
county	0.0069
william barr	0.0069
rudy	0.0069
double jabbed	0.0068
function research	0.0068
normal life	0.0068
older people	0.0068
smell	0.0068
d.c.	0.0068
haryana	0.0068
son	0.0068
rick scott	0.0068
rsv	0.0068
merry christmas	0.0067
peter navarro	0.0067
los angeles county	0.0067
covid update	0.0067
poor people	0.0067
unity	0.0067
child	0.0067
disaster	0.0067
door	0.0067
wiv	0.0067
breath	0.0067
murder	0.0067
goa	0.0067
new deaths	0.0066
bbc news	0.0066
mass testing	0.0066
wuhan virus	0.0066
future	0.0066
michael caputo	0.0066
admission	0.0066
manila	0.0066
happiness	0.0066
infrastructure	0.0066
fruits	0.0066
elizabeth warren	0.0065
heart inflammation	0.0065
good morning	0.0065
jamaica	0.0065
bush	0.0065
secondary number	0.0065
xinjiang	0.0065
classrooms	0.0065
mco	0.0065
harm	0.0065
no10	0.0065
graham	0.0065
united airlines	0.0064
covid misinformation	0.0064
cleanliness workers	0.0064
voter suppression	0.0064
american soldiers	0.0064
washington dc	0.0064
voter fraud	0.0064
tucker	0.0064
sex	0.0064
friend	0.0064
plan	0.0064
compliance	0.0064
student	0.0064
democratic	0.0064
fema	0.0064
tom hanks	0.0064
chinese people	0.0064
wtf	0.0064
allah	0.0064
walgreens	0.0064
steroids	0.0064
case numbers	0.0063
private hospitals	0.0063
gladys berejiklian	0.0063
dera sacha sauda	0.0063
covid19 cases	0.0063
golfing	0.0063
tears	0.0063
director	0.0063
montana	0.0063
level	0.0063
pictures	0.0063
kenyans	0.0063
liberals	0.0063
chile	0.0063
gauteng	0.0063
early treatment	0.0062
community transmission	0.0062
recent days	0.0062
corona warriors- doctors	0.0062
chinese virus	0.0062
oxygen cylinders	0.0062
covid warriors	0.0062
rupert murdoch	0.0062
growth	0.0062
flood	0.0062
when covid	0.0062
harry	0.0062
covaxin	0.0062
phd	0.0062
kabul	0.0062
nasser mohammed al-yamani	0.0061
jim inhofe	0.0061
social care	0.0061
police officers	0.0061
voting rights	0.0061
covid data	0.0061
jair bolsonaro	0.0061
sonia gandhi	0.0061
madrid	0.0061
gdp	0.0061
dan	0.0061
bharat biotech	0.0061
fight	0.0061
kayleigh mcenany	0.0061
abuse	0.0061
qld	0.0061
soap	0.0061
kyrie irving	0.006
years eve	0.006
candace owens	0.006
eric clapton	0.006
pre-pandemic levels	0.006
covid lockdowns	0.006
world leaders	0.006
new mexico	0.006
lori lightfoot	0.006
rbg	0.006
iceland	0.006
delaware	0.006
k-12	0.006
silence	0.006
noon	0.006
advance	0.006
rise	0.006
lancet	0.006
bill	0.006
cvs	0.006
argentina	0.006
neet jee	0.006
bad news	0.0059
vaccination rates	0.0059
new yorks	0.0059
kumbh mela	0.0059
president joe biden	0.0059
account	0.0059
return	0.0059
hotels	0.0059
kansas	0.0059
stores	0.0059
jandj	0.0059
brian kemp	0.0059
novel coronavirus	0.0059
new variant	0.0058
mrna vaccines	0.0058
miami beach	0.0058
cdc guidance	0.0058
jacinda ardern	0.0058
schumer	0.0058
attendees	0.0058
race	0.0058
npr	0.0058
liberty	0.0058
almost a year	0.0058
yoga	0.0058
american families	0.0058
tweet	0.0058
warnock	0.0058
osha	0.0058
southern africa	0.0057
civil liberties	0.0057
universal healthcare	0.0057
chuck schumer	0.0057
health minister	0.0057
health canada	0.0057
arrival	0.0057
registration link	0.0057
conditions	0.0057
mlb	0.0057
communism	0.0057
shortage	0.0057
afghan	0.0057
hospital admissions	0.0056
pfizer vaccine	0.0056
